track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Be My Remedy,HOUSE OF SAY,2ul8NCKoRZ8OlLdDdCIRR5,https://api.spotify.com/v1/tracks/2ul8NCKoRZ8OlLdDdCIRR5,0.00908,0.71,0.515,0.00294,0.575,-7.217,0.122,99.993,0.462
Can We Kiss Forever?,Kina,58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,0.894,0.522,0.128,0.026,0.0941,-18.717,0.0357,109.986,0.124
Howl's Moving Castle Theme,Kyle Landry,3Hc7Su1AVaynKEkwSZopbN,https://api.spotify.com/v1/tracks/3Hc7Su1AVaynKEkwSZopbN,0.94,0.322,0.144,0.918,0.0744,-17.448,0.0384,142.881,0.0471
Miroh - Instrumental,Piano Dreamers,0pRwZ0Vh3Vud0XANoHyiS2,https://api.spotify.com/v1/tracks/0pRwZ0Vh3Vud0XANoHyiS2,0.964,0.517,0.341,0.93,0.106,-17.085,0.0445,126.014,0.3
Shine,PENTAGON,7nkp1uuSbKkoxMvEs8cSw0,https://api.spotify.com/v1/tracks/7nkp1uuSbKkoxMvEs8cSw0,0.411,0.74,0.804,0,0.0578,-2.187,0.0546,150.013,0.791
BBoom BBoom,MOMOLAND,3BPoSr2pO34Aan6alFfVto,https://api.spotify.com/v1/tracks/3BPoSr2pO34Aan6alFfVto,0.0149,0.785,0.744,0.00666,0.0661,-4.249,0.0369,126.018,0.833
Likey,TWICE,0IEVKWduAaMcZepZQVr80T,https://api.spotify.com/v1/tracks/0IEVKWduAaMcZepZQVr80T,0.413,0.723,0.903,0.000377,0.118,-1.262,0.033,132.006,0.443
Love Shot,EXO,0yB4jrSwN0bFtFRDR5vyMj,https://api.spotify.com/v1/tracks/0yB4jrSwN0bFtFRDR5vyMj,0.0702,0.689,0.678,0,0.0889,-4.287,0.119,145.883,0.335
Play It Cool - Quintino Remix,Steve Aoki,6jLkxWgD7u9aVGAjhz6k0U,https://api.spotify.com/v1/tracks/6jLkxWgD7u9aVGAjhz6k0U,0.00652,0.692,0.861,0.0161,0.0647,-5.378,0.0954,127.98,0.494
MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,75scDPqGs75FotglJSoOI2,https://api.spotify.com/v1/tracks/75scDPqGs75FotglJSoOI2,0.0114,0.606,0.848,1.06E-06,0.206,-3.952,0.184,170.01,0.54
Dope,BTS,4TiKZrN7gtc62SUiufpFCM,https://api.spotify.com/v1/tracks/4TiKZrN7gtc62SUiufpFCM,0.0272,0.579,0.896,1.02E-06,0.352,-2.781,0.224,153.991,0.678
Fire - Japanese Ver.,BTS,37T5IYyhKNow16Rf2eohTt,https://api.spotify.com/v1/tracks/37T5IYyhKNow16Rf2eohTt,0.00359,0.651,0.714,0,0.125,-2.977,0.0699,99.999,0.508
